entity_id,entity_name,entity_type,news_id
COMPANY_Total_4,Total,Company,NEWS-14
COMPANY_Financial_5,Financial,Company,NEWS-14
COMPANY_COMP-1_0,COMP-1,Company,NEWS-15
COMPANY_Profile_1,Profile,Company,NEWS-15
COMPANY_Average_2,Average,Company,NEWS-15
COMPANY_Maximum_3,Maximum,Company,NEWS-15
COMPANY_Total_4,Total,Company,NEWS-15
COMPANY_Financial_5,Financial,Company,NEWS-15
COMPANY_COMP-1_0,COMP-1,Company,NEWS-16
COMPANY_Profile_1,Profile,Company,NEWS-16
COMPANY_Average_2,Average,Company,NEWS-16
COMPANY_Maximum_3,Maximum,Company,NEWS-16
COMPANY_Total_4,Total,Company,NEWS-16
COMPANY_Financial_5,Financial,Company,NEWS-16
COMPANY_COMP-1_0,COMP-1,Company,NEWS-17
COMPANY_Profile_1,Profile,Company,NEWS-17
COMPANY_Average_2,Average,Company,NEWS-17
COMPANY_Maximum_3,Maximum,Company,NEWS-17
COMPANY_Total_4,Total,Company,NEWS-17
COMPANY_Financial_5,Financial,Company,NEWS-17
COMPANY_COMP-1_0,COMP-1,Company,NEWS-18
COMPANY_Profile_1,Profile,Company,NEWS-18
COMPANY_Average_2,Average,Company,NEWS-18
COMPANY_Maximum_3,Maximum,Company,NEWS-18
COMPANY_Total_4,Total,Company,NEWS-18
COMPANY_Financial_5,Financial,Company,NEWS-18
COMPANY_COMP-1_0,COMP-1,Company,NEWS-19
COMPANY_Profile_1,Profile,Company,NEWS-19
COMPANY_Average_2,Average,Company,NEWS-19
COMPANY_Maximum_3,Maximum,Company,NEWS-19
COMPANY_Total_4,Total,Company,NEWS-19
COMPANY_Financial_5,Financial,Company,NEWS-19
COMPANY_COMP-1_0,COMP-1,Company,NEWS-20
COMPANY_Profile_1,Profile,Company,NEWS-20
COMPANY_Average_2,Average,Company,NEWS-20
COMPANY_Maximum_3,Maximum,Company,NEWS-20
COMPANY_Total_4,Total,Company,NEWS-20
COMPANY_Financial_5,Financial,Company,NEWS-20
COMPANY_COMP-1_0,COMP-1,Company,NEWS-21
COMPANY_Profile_1,Profile,Company,NEWS-21
COMPANY_Average_2,Average,Company,NEWS-21
COMPANY_Maximum_3,Maximum,Company,NEWS-21
COMPANY_Total_4,Total,Company,NEWS-21
COMPANY_Financial_5,Financial,Company,NEWS-21
COMPANY_COMP-10_0,COMP-10,Company,NEWS-22
COMPANY_Profile_1,Profile,Company,NEWS-22
COMPANY_Average_2,Average,Company,NEWS-22
COMPANY_Maximum_3,Maximum,Company,NEWS-22
COMPANY_Total_4,Total,Company,NEWS-22
COMPANY_Financial_5,Financial,Company,NEWS-22
COMPANY_COMP-10_0,COMP-10,Company,NEWS-23
COMPANY_Profile_1,Profile,Company,NEWS-23
COMPANY_Average_2,Average,Company,NEWS-23
COMPANY_Maximum_3,Maximum,Company,NEWS-23
COMPANY_Total_4,Total,Company,NEWS-23
COMPANY_Financial_5,Financial,Company,NEWS-23
COMPANY_COMP-10_0,COMP-10,Company,NEWS-24
COMPANY_Profile_1,Profile,Company,NEWS-24
COMPANY_Average_2,Average,Company,NEWS-24
COMPANY_Maximum_3,Maximum,Company,NEWS-24
COMPANY_Total_4,Total,Company,NEWS-24
COMPANY_Financial_5,Financial,Company,NEWS-24
COMPANY_COMP-10_0,COMP-10,Company,NEWS-25
COMPANY_Profile_1,Profile,Company,NEWS-25
COMPANY_Average_2,Average,Company,NEWS-25
COMPANY_Maximum_3,Maximum,Company,NEWS-25
COMPANY_Total_4,Total,Company,NEWS-25
COMPANY_Financial_5,Financial,Company,NEWS-25
COMPANY_COMP-10_0,COMP-10,Company,NEWS-26
COMPANY_Profile_1,Profile,Company,NEWS-26
COMPANY_Average_2,Average,Company,NEWS-26
COMPANY_Maximum_3,Maximum,Company,NEWS-26
COMPANY_Total_4,Total,Company,NEWS-26
COMPANY_Financial_5,Financial,Company,NEWS-26
COMPANY_COMP-10_0,COMP-10,Company,NEWS-27
COMPANY_Profile_1,Profile,Company,NEWS-27
COMPANY_Average_2,Average,Company,NEWS-27
COMPANY_Maximum_3,Maximum,Company,NEWS-27
COMPANY_Total_4,Total,Company,NEWS-27
COMPANY_Financial_5,Financial,Company,NEWS-27
COMPANY_COMP-10_0,COMP-10,Company,NEWS-28
COMPANY_Profile_1,Profile,Company,NEWS-28
COMPANY_Average_2,Average,Company,NEWS-28
COMPANY_Maximum_3,Maximum,Company,NEWS-28
COMPANY_Total_4,Total,Company,NEWS-28
COMPANY_Financial_5,Financial,Company,NEWS-28
COMPANY_COMP-10_0,COMP-10,Company,NEWS-29
COMPANY_Profile_1,Profile,Company,NEWS-29
COMPANY_Average_2,Average,Company,NEWS-29
COMPANY_Maximum_3,Maximum,Company,NEWS-29
COMPANY_Total_4,Total,Company,NEWS-29
COMPANY_Financial_5,Financial,Company,NEWS-29
COMPANY_COMP-10_0,COMP-10,Company,NEWS-30
COMPANY_Profile_1,Profile,Company,NEWS-30
COMPANY_Average_2,Average,Company,NEWS-30
COMPANY_Maximum_3,Maximum,Company,NEWS-30
COMPANY_Total_4,Total,Company,NEWS-30
COMPANY_Financial_5,Financial,Company,NEWS-30
COMPANY_COMP-10_0,COMP-10,Company,NEWS-31
COMPANY_Profile_1,Profile,Company,NEWS-31
COMPANY_Average_2,Average,Company,NEWS-31
COMPANY_Maximum_3,Maximum,Company,NEWS-31
COMPANY_Total_4,Total,Company,NEWS-31
COMPANY_Financial_5,Financial,Company,NEWS-31
COMPANY_COMP-10_0,COMP-10,Company,NEWS-32
COMPANY_Profile_1,Profile,Company,NEWS-32
COMPANY_Average_2,Average,Company,NEWS-32
COMPANY_Maximum_3,Maximum,Company,NEWS-32
COMPANY_Total_4,Total,Company,NEWS-32
COMPANY_Financial_5,Financial,Company,NEWS-32
COMPANY_COMP-11_0,COMP-11,Company,NEWS-33
COMPANY_Profile_1,Profile,Company,NEWS-33
COMPANY_Average_2,Average,Company,NEWS-33
COMPANY_Maximum_3,Maximum,Company,NEWS-33
COMPANY_Total_4,Total,Company,NEWS-33
COMPANY_Financial_5,Financial,Company,NEWS-33
COMPANY_COMP-11_0,COMP-11,Company,NEWS-34
COMPANY_Profile_1,Profile,Company,NEWS-34
COMPANY_Average_2,Average,Company,NEWS-34
COMPANY_Maximum_3,Maximum,Company,NEWS-34
COMPANY_Total_4,Total,Company,NEWS-34
COMPANY_Financial_5,Financial,Company,NEWS-34
COMPANY_COMP-11_0,COMP-11,Company,NEWS-35
COMPANY_Profile_1,Profile,Company,NEWS-35
COMPANY_Average_2,Average,Company,NEWS-35
COMPANY_Maximum_3,Maximum,Company,NEWS-35
COMPANY_Total_4,Total,Company,NEWS-35
COMPANY_Financial_5,Financial,Company,NEWS-35
COMPANY_COMP-11_0,COMP-11,Company,NEWS-36
COMPANY_Profile_1,Profile,Company,NEWS-36
COMPANY_Average_2,Average,Company,NEWS-36
COMPANY_Maximum_3,Maximum,Company,NEWS-36
COMPANY_Total_4,Total,Company,NEWS-36
COMPANY_Financial_5,Financial,Company,NEWS-36
COMPANY_COMP-11_0,COMP-11,Company,NEWS-37
COMPANY_Profile_1,Profile,Company,NEWS-37
COMPANY_Average_2,Average,Company,NEWS-37
COMPANY_Maximum_3,Maximum,Company,NEWS-37
COMPANY_Total_4,Total,Company,NEWS-37
COMPANY_Financial_5,Financial,Company,NEWS-37
COMPANY_COMP-11_0,COMP-11,Company,NEWS-38
COMPANY_Profile_1,Profile,Company,NEWS-38
COMPANY_Average_2,Average,Company,NEWS-38
COMPANY_Maximum_3,Maximum,Company,NEWS-38
COMPANY_Total_4,Total,Company,NEWS-38
COMPANY_Financial_5,Financial,Company,NEWS-38
COMPANY_COMP-11_0,COMP-11,Company,NEWS-39
COMPANY_Profile_1,Profile,Company,NEWS-39
COMPANY_Average_2,Average,Company,NEWS-39
COMPANY_Maximum_3,Maximum,Company,NEWS-39
COMPANY_Total_4,Total,Company,NEWS-39
COMPANY_Financial_5,Financial,Company,NEWS-39
COMPANY_COMP-11_0,COMP-11,Company,NEWS-40
COMPANY_Profile_1,Profile,Company,NEWS-40
COMPANY_Average_2,Average,Company,NEWS-40
COMPANY_Maximum_3,Maximum,Company,NEWS-40
COMPANY_Total_4,Total,Company,NEWS-40
COMPANY_Financial_5,Financial,Company,NEWS-40
COMPANY_COMP-11_0,COMP-11,Company,NEWS-41
COMPANY_Profile_1,Profile,Company,NEWS-41
COMPANY_Average_2,Average,Company,NEWS-41
COMPANY_Maximum_3,Maximum,Company,NEWS-41
COMPANY_Total_4,Total,Company,NEWS-41
COMPANY_Financial_5,Financial,Company,NEWS-41
COMPANY_COMP-11_0,COMP-11,Company,NEWS-42
COMPANY_Profile_1,Profile,Company,NEWS-42
COMPANY_Average_2,Average,Company,NEWS-42
COMPANY_Maximum_3,Maximum,Company,NEWS-42
COMPANY_Total_4,Total,Company,NEWS-42
COMPANY_Financial_5,Financial,Company,NEWS-42
COMPANY_COMP-12_0,COMP-12,Company,NEWS-43
COMPANY_Profile_1,Profile,Company,NEWS-43
COMPANY_Average_2,Average,Company,NEWS-43
COMPANY_Maximum_3,Maximum,Company,NEWS-43
COMPANY_Total_4,Total,Company,NEWS-43
COMPANY_Financial_5,Financial,Company,NEWS-43
COMPANY_COMP-12_0,COMP-12,Company,NEWS-44
COMPANY_Profile_1,Profile,Company,NEWS-44
COMPANY_Average_2,Average,Company,NEWS-44
COMPANY_Maximum_3,Maximum,Company,NEWS-44
COMPANY_Total_4,Total,Company,NEWS-44
COMPANY_Financial_5,Financial,Company,NEWS-44
COMPANY_COMP-12_0,COMP-12,Company,NEWS-45
COMPANY_Profile_1,Profile,Company,NEWS-45
COMPANY_Average_2,Average,Company,NEWS-45
COMPANY_Maximum_3,Maximum,Company,NEWS-45
COMPANY_Total_4,Total,Company,NEWS-45
COMPANY_Financial_5,Financial,Company,NEWS-45
COMPANY_COMP-12_0,COMP-12,Company,NEWS-46
COMPANY_Profile_1,Profile,Company,NEWS-46
COMPANY_Average_2,Average,Company,NEWS-46
COMPANY_Maximum_3,Maximum,Company,NEWS-46
COMPANY_Total_4,Total,Company,NEWS-46
COMPANY_Financial_5,Financial,Company,NEWS-46
COMPANY_COMP-12_0,COMP-12,Company,NEWS-47
COMPANY_Profile_1,Profile,Company,NEWS-47
COMPANY_Average_2,Average,Company,NEWS-47
COMPANY_Maximum_3,Maximum,Company,NEWS-47
COMPANY_Total_4,Total,Company,NEWS-47
COMPANY_Financial_5,Financial,Company,NEWS-47
COMPANY_COMP-12_0,COMP-12,Company,NEWS-48
COMPANY_Profile_1,Profile,Company,NEWS-48
COMPANY_Average_2,Average,Company,NEWS-48
COMPANY_Maximum_3,Maximum,Company,NEWS-48
COMPANY_Total_4,Total,Company,NEWS-48
COMPANY_Financial_5,Financial,Company,NEWS-48
COMPANY_COMP-12_0,COMP-12,Company,NEWS-49
COMPANY_Profile_1,Profile,Company,NEWS-49
COMPANY_Average_2,Average,Company,NEWS-49
COMPANY_Maximum_3,Maximum,Company,NEWS-49
COMPANY_Total_4,Total,Company,NEWS-49
COMPANY_Financial_5,Financial,Company,NEWS-49
COMPANY_COMP-12_0,COMP-12,Company,NEWS-50
COMPANY_Profile_1,Profile,Company,NEWS-50
COMPANY_Average_2,Average,Company,NEWS-50
COMPANY_Maximum_3,Maximum,Company,NEWS-50
COMPANY_Total_4,Total,Company,NEWS-50
COMPANY_Financial_5,Financial,Company,NEWS-50
COMPANY_COMP-12_0,COMP-12,Company,NEWS-51
COMPANY_Profile_1,Profile,Company,NEWS-51
COMPANY_Average_2,Average,Company,NEWS-51
COMPANY_Maximum_3,Maximum,Company,NEWS-51
COMPANY_Total_4,Total,Company,NEWS-51
COMPANY_Financial_5,Financial,Company,NEWS-51
COMPANY_COMP-12_0,COMP-12,Company,NEWS-52
COMPANY_Profile_1,Profile,Company,NEWS-52
COMPANY_Average_2,Average,Company,NEWS-52
COMPANY_Maximum_3,Maximum,Company,NEWS-52
COMPANY_Total_4,Total,Company,NEWS-52
COMPANY_Financial_5,Financial,Company,NEWS-52
COMPANY_COMP-12_0,COMP-12,Company,NEWS-53
COMPANY_Profile_1,Profile,Company,NEWS-53
COMPANY_Average_2,Average,Company,NEWS-53
COMPANY_Maximum_3,Maximum,Company,NEWS-53
COMPANY_Total_4,Total,Company,NEWS-53
COMPANY_Financial_5,Financial,Company,NEWS-53
COMPANY_COMP-13_0,COMP-13,Company,NEWS-54
COMPANY_Profile_1,Profile,Company,NEWS-54
COMPANY_Average_2,Average,Company,NEWS-54
COMPANY_Maximum_3,Maximum,Company,NEWS-54
COMPANY_Total_4,Total,Company,NEWS-54
COMPANY_Financial_5,Financial,Company,NEWS-54
COMPANY_COMP-13_0,COMP-13,Company,NEWS-55
COMPANY_Profile_1,Profile,Company,NEWS-55
COMPANY_Average_2,Average,Company,NEWS-55
COMPANY_Maximum_3,Maximum,Company,NEWS-55
COMPANY_Total_4,Total,Company,NEWS-55
COMPANY_Financial_5,Financial,Company,NEWS-55
COMPANY_COMP-13_0,COMP-13,Company,NEWS-56
COMPANY_Profile_1,Profile,Company,NEWS-56
COMPANY_Average_2,Average,Company,NEWS-56
COMPANY_Maximum_3,Maximum,Company,NEWS-56
COMPANY_Total_4,Total,Company,NEWS-56
COMPANY_Financial_5,Financial,Company,NEWS-56
COMPANY_COMP-13_0,COMP-13,Company,NEWS-57
COMPANY_Profile_1,Profile,Company,NEWS-57
COMPANY_Average_2,Average,Company,NEWS-57
COMPANY_Maximum_3,Maximum,Company,NEWS-57
COMPANY_Total_4,Total,Company,NEWS-57
COMPANY_Financial_5,Financial,Company,NEWS-57
COMPANY_COMP-13_0,COMP-13,Company,NEWS-58
COMPANY_Profile_1,Profile,Company,NEWS-58
COMPANY_Average_2,Average,Company,NEWS-58
COMPANY_Maximum_3,Maximum,Company,NEWS-58
COMPANY_Total_4,Total,Company,NEWS-58
COMPANY_Financial_5,Financial,Company,NEWS-58
COMPANY_COMP-13_0,COMP-13,Company,NEWS-59
COMPANY_Profile_1,Profile,Company,NEWS-59
COMPANY_Average_2,Average,Company,NEWS-59
COMPANY_Maximum_3,Maximum,Company,NEWS-59
COMPANY_Total_4,Total,Company,NEWS-59
COMPANY_Financial_5,Financial,Company,NEWS-59
COMPANY_COMP-13_0,COMP-13,Company,NEWS-60
COMPANY_Profile_1,Profile,Company,NEWS-60
COMPANY_Average_2,Average,Company,NEWS-60
COMPANY_Maximum_3,Maximum,Company,NEWS-60
COMPANY_Total_4,Total,Company,NEWS-60
COMPANY_Financial_5,Financial,Company,NEWS-60
COMPANY_COMP-13_0,COMP-13,Company,NEWS-61
COMPANY_Profile_1,Profile,Company,NEWS-61
COMPANY_Average_2,Average,Company,NEWS-61
COMPANY_Maximum_3,Maximum,Company,NEWS-61
COMPANY_Total_4,Total,Company,NEWS-61
COMPANY_Financial_5,Financial,Company,NEWS-61
COMPANY_COMP-13_0,COMP-13,Company,NEWS-62
COMPANY_Profile_1,Profile,Company,NEWS-62
COMPANY_Average_2,Average,Company,NEWS-62
COMPANY_Maximum_3,Maximum,Company,NEWS-62
COMPANY_Total_4,Total,Company,NEWS-62
COMPANY_Financial_5,Financial,Company,NEWS-62
COMPANY_COMP-13_0,COMP-13,Company,NEWS-63
COMPANY_Profile_1,Profile,Company,NEWS-63
COMPANY_Average_2,Average,Company,NEWS-63
COMPANY_Maximum_3,Maximum,Company,NEWS-63
COMPANY_Total_4,Total,Company,NEWS-63
COMPANY_Financial_5,Financial,Company,NEWS-63
COMPANY_COMP-13_0,COMP-13,Company,NEWS-64
COMPANY_Profile_1,Profile,Company,NEWS-64
COMPANY_Average_2,Average,Company,NEWS-64
COMPANY_Maximum_3,Maximum,Company,NEWS-64
COMPANY_Total_4,Total,Company,NEWS-64
COMPANY_Financial_5,Financial,Company,NEWS-64
COMPANY_COMP-13_0,COMP-13,Company,NEWS-65
COMPANY_Profile_1,Profile,Company,NEWS-65
COMPANY_Average_2,Average,Company,NEWS-65
COMPANY_Maximum_3,Maximum,Company,NEWS-65
COMPANY_Total_4,Total,Company,NEWS-65
COMPANY_Financial_5,Financial,Company,NEWS-65
COMPANY_COMP-13_0,COMP-13,Company,NEWS-66
COMPANY_Profile_1,Profile,Company,NEWS-66
COMPANY_Average_2,Average,Company,NEWS-66
COMPANY_Maximum_3,Maximum,Company,NEWS-66
COMPANY_Total_4,Total,Company,NEWS-66
COMPANY_Financial_5,Financial,Company,NEWS-66
COMPANY_COMP-13_0,COMP-13,Company,NEWS-67
COMPANY_Profile_1,Profile,Company,NEWS-67
COMPANY_Average_2,Average,Company,NEWS-67
COMPANY_Maximum_3,Maximum,Company,NEWS-67
COMPANY_Total_4,Total,Company,NEWS-67
COMPANY_Financial_5,Financial,Company,NEWS-67
COMPANY_COMP-13_0,COMP-13,Company,NEWS-68
COMPANY_Profile_1,Profile,Company,NEWS-68
COMPANY_Average_2,Average,Company,NEWS-68
COMPANY_Maximum_3,Maximum,Company,NEWS-68
COMPANY_Total_4,Total,Company,NEWS-68
COMPANY_Financial_5,Financial,Company,NEWS-68
COMPANY_COMP-14_0,COMP-14,Company,NEWS-69
COMPANY_Profile_1,Profile,Company,NEWS-69
COMPANY_Average_2,Average,Company,NEWS-69
COMPANY_Maximum_3,Maximum,Company,NEWS-69
COMPANY_Total_4,Total,Company,NEWS-69
COMPANY_Financial_5,Financial,Company,NEWS-69
COMPANY_COMP-14_0,COMP-14,Company,NEWS-70
COMPANY_Profile_1,Profile,Company,NEWS-70
COMPANY_Average_2,Average,Company,NEWS-70
COMPANY_Maximum_3,Maximum,Company,NEWS-70
COMPANY_Total_4,Total,Company,NEWS-70
COMPANY_Financial_5,Financial,Company,NEWS-70
COMPANY_COMP-14_0,COMP-14,Company,NEWS-71
COMPANY_Profile_1,Profile,Company,NEWS-71
COMPANY_Average_2,Average,Company,NEWS-71
COMPANY_Maximum_3,Maximum,Company,NEWS-71
COMPANY_Total_4,Total,Company,NEWS-71
COMPANY_Financial_5,Financial,Company,NEWS-71
COMPANY_COMP-14_0,COMP-14,Company,NEWS-72
COMPANY_Profile_1,Profile,Company,NEWS-72
COMPANY_Average_2,Average,Company,NEWS-72
COMPANY_Maximum_3,Maximum,Company,NEWS-72
COMPANY_Total_4,Total,Company,NEWS-72
COMPANY_Financial_5,Financial,Company,NEWS-72
COMPANY_COMP-14_0,COMP-14,Company,NEWS-73
COMPANY_Profile_1,Profile,Company,NEWS-73
COMPANY_Average_2,Average,Company,NEWS-73
COMPANY_Maximum_3,Maximum,Company,NEWS-73
COMPANY_Total_4,Total,Company,NEWS-73
COMPANY_Financial_5,Financial,Company,NEWS-73
COMPANY_COMP-14_0,COMP-14,Company,NEWS-74
COMPANY_Profile_1,Profile,Company,NEWS-74
COMPANY_Average_2,Average,Company,NEWS-74
COMPANY_Maximum_3,Maximum,Company,NEWS-74
COMPANY_Total_4,Total,Company,NEWS-74
COMPANY_Financial_5,Financial,Company,NEWS-74
COMPANY_COMP-14_0,COMP-14,Company,NEWS-75
COMPANY_Profile_1,Profile,Company,NEWS-75
COMPANY_Average_2,Average,Company,NEWS-75
COMPANY_Maximum_3,Maximum,Company,NEWS-75
COMPANY_Total_4,Total,Company,NEWS-75
COMPANY_Financial_5,Financial,Company,NEWS-75
COMPANY_COMP-14_0,COMP-14,Company,NEWS-76
COMPANY_Profile_1,Profile,Company,NEWS-76
COMPANY_Average_2,Average,Company,NEWS-76
COMPANY_Maximum_3,Maximum,Company,NEWS-76
COMPANY_Total_4,Total,Company,NEWS-76
COMPANY_Financial_5,Financial,Company,NEWS-76
COMPANY_COMP-14_0,COMP-14,Company,NEWS-77
COMPANY_Profile_1,Profile,Company,NEWS-77
COMPANY_Average_2,Average,Company,NEWS-77
COMPANY_Maximum_3,Maximum,Company,NEWS-77
COMPANY_Total_4,Total,Company,NEWS-77
COMPANY_Financial_5,Financial,Company,NEWS-77
COMPANY_COMP-15_0,COMP-15,Company,NEWS-78
COMPANY_Profile_1,Profile,Company,NEWS-78
COMPANY_Average_2,Average,Company,NEWS-78
COMPANY_Maximum_3,Maximum,Company,NEWS-78
COMPANY_Total_4,Total,Company,NEWS-78
COMPANY_Financial_5,Financial,Company,NEWS-78
COMPANY_COMP-15_0,COMP-15,Company,NEWS-79
COMPANY_Profile_1,Profile,Company,NEWS-79
COMPANY_Average_2,Average,Company,NEWS-79
COMPANY_Maximum_3,Maximum,Company,NEWS-79
COMPANY_Total_4,Total,Company,NEWS-79
COMPANY_Financial_5,Financial,Company,NEWS-79
COMPANY_COMP-15_0,COMP-15,Company,NEWS-80
COMPANY_Profile_1,Profile,Company,NEWS-80
COMPANY_Average_2,Average,Company,NEWS-80
COMPANY_Maximum_3,Maximum,Company,NEWS-80
COMPANY_Total_4,Total,Company,NEWS-80
COMPANY_Financial_5,Financial,Company,NEWS-80
COMPANY_COMP-15_0,COMP-15,Company,NEWS-81
COMPANY_Profile_1,Profile,Company,NEWS-81
COMPANY_Average_2,Average,Company,NEWS-81
COMPANY_Maximum_3,Maximum,Company,NEWS-81
COMPANY_Total_4,Total,Company,NEWS-81
COMPANY_Financial_5,Financial,Company,NEWS-81
COMPANY_COMP-15_0,COMP-15,Company,NEWS-82
COMPANY_Profile_1,Profile,Company,NEWS-82
COMPANY_Average_2,Average,Company,NEWS-82
COMPANY_Maximum_3,Maximum,Company,NEWS-82
COMPANY_Total_4,Total,Company,NEWS-82
COMPANY_Financial_5,Financial,Company,NEWS-82
COMPANY_COMP-15_0,COMP-15,Company,NEWS-83
COMPANY_Profile_1,Profile,Company,NEWS-83
COMPANY_Average_2,Average,Company,NEWS-83
COMPANY_Maximum_3,Maximum,Company,NEWS-83
COMPANY_Total_4,Total,Company,NEWS-83
COMPANY_Financial_5,Financial,Company,NEWS-83
COMPANY_COMP-15_0,COMP-15,Company,NEWS-84
COMPANY_Profile_1,Profile,Company,NEWS-84
COMPANY_Average_2,Average,Company,NEWS-84
COMPANY_Maximum_3,Maximum,Company,NEWS-84
COMPANY_Total_4,Total,Company,NEWS-84
COMPANY_Financial_5,Financial,Company,NEWS-84
COMPANY_COMP-15_0,COMP-15,Company,NEWS-85
COMPANY_Profile_1,Profile,Company,NEWS-85
COMPANY_Average_2,Average,Company,NEWS-85
COMPANY_Maximum_3,Maximum,Company,NEWS-85
COMPANY_Total_4,Total,Company,NEWS-85
COMPANY_Financial_5,Financial,Company,NEWS-85
COMPANY_COMP-15_0,COMP-15,Company,NEWS-86
COMPANY_Profile_1,Profile,Company,NEWS-86
COMPANY_Average_2,Average,Company,NEWS-86
COMPANY_Maximum_3,Maximum,Company,NEWS-86
COMPANY_Total_4,Total,Company,NEWS-86
COMPANY_Financial_5,Financial,Company,NEWS-86
COMPANY_COMP-15_0,COMP-15,Company,NEWS-87
COMPANY_Profile_1,Profile,Company,NEWS-87
COMPANY_Average_2,Average,Company,NEWS-87
COMPANY_Maximum_3,Maximum,Company,NEWS-87
COMPANY_Total_4,Total,Company,NEWS-87
COMPANY_Financial_5,Financial,Company,NEWS-87
COMPANY_COMP-15_0,COMP-15,Company,NEWS-88
COMPANY_Profile_1,Profile,Company,NEWS-88
COMPANY_Average_2,Average,Company,NEWS-88
COMPANY_Maximum_3,Maximum,Company,NEWS-88
COMPANY_Total_4,Total,Company,NEWS-88
COMPANY_Financial_5,Financial,Company,NEWS-88
COMPANY_COMP-15_0,COMP-15,Company,NEWS-89
COMPANY_Profile_1,Profile,Company,NEWS-89
